,State Code,State,Zip Code,City,Year,Price,% Increase,Latitude,Longitude
594,MS,Mississippi,38654,Olive Branch,122500,211200,172.41,34.9441,-89.8544
595,NJ,New Jersey,7728,Freehold,182600,357200,195.62,40.2458,-74.2768
596,CA,California,91801,Alhambra,194800,661900,339.78,34.0914,-118.1293
597,CA,California,94086,Sunnyvale,461000,1732100,375.73,37.3764,-122.0238
598,CA,California,94591,Vallejo,197800,480700,243.02,38.0985,-122.2124
599,PA,Pennsylvania,19380,West Chester,204800,403800,197.17,39.9845,-75.5962
600,CA,California,91331,Los Angeles,141700,492300,347.42,34.2556,-118.4208
601,GA,Georgia,30907,Martinez,101200,161900,159.98,33.5229,-82.0852
602,GA,Georgia,30144,Kennesaw,137700,218000,158.32,34.0287,-84.6047
603,OH,Ohio,45040,Mason,161600,263600,163.12,39.3357,-84.3149
604,AR,Arkansas,72034,Conway,93900,174400,185.73,35.0823,-92.4683
605,LA,Louisiana,70065,Kenner,126500,188700,149.17,30.0252,-90.2522
606,VA,Virginia,23456,Virginia Beach,157300,351700,223.59,36.7341,-76.0359
607,TX,Texas,76051,Grapevine,189500,356000,187.86,32.9328,-97.0808
608,FL,Florida,33023,Miramar,86400,261700,302.89,25.9894,-80.2153
609,TX,Texas,78223,San Antonio,64700,133000,205.56,29.3579,-98.4356
610,OH,Ohio,45424,Huber Heights,91800,122200,133.12,39.8353,-84.1123
611,NC,North Carolina,27106,Winston-Salem,122900,171500,139.54,36.1428,-80.3069
612,CA,California,90042,Los Angeles,145400,771400,530.54,34.1145,-118.1929
613,VA,Virginia,24060,Blacksburg,154800,292200,188.76,37.2563,-80.4347
614,FL,Florida,33578,Riverview,85600,200800,234.58,27.8633,-82.3499
615,VA,Virginia,23112,Midlothian,137900,260900,189.2,37.431,-77.6545
616,CA,California,92020,El Cajon,195000,531900,272.77,32.7928,-116.9665
617,CA,California,94553,Martinez,218000,608500,279.13,37.9864,-122.135
618,OR,Oregon,97504,Medford,139200,308200,221.41,42.3363,-122.8398
619,NC,North Carolina,27603,Raleigh,140800,234700,166.69,35.7076,-78.6563
620,FL,Florida,32137,Palm Coast,101400,244500,241.12,29.5565,-81.219
621,TX,Texas,78520,Brownsville,60300,85700,142.12,25.9337,-97.5174
622,SC,South Carolina,29229,Columbia,129600,152600,117.75,34.1388,-80.8892
623,FL,Florida,34748,Leesburg,85500,167900,196.37,28.808,-81.8858
624,NY,New York,10466,New York,177500,435900,245.58,40.8904,-73.8503
625,NC,North Carolina,27529,Garner,129700,209500,161.53,35.6813,-78.5975
626,CA,California,92882,Corona,189700,492100,259.41,33.8419,-117.6043
627,CA,California,94015,Daly City,362000,1020500,281.91,37.6787,-122.478
628,CA,California,92399,Yucaipa,154300,377100,244.39,34.0282,-117.0489
629,AZ,Arizona,85351,Sun City,88100,171700,194.89,33.6061,-112.2797
630,WA,Washington,98225,Bellingham,125000,414400,331.52,48.749,-122.4887
631,NJ,New Jersey,7055,Passaic,146700,331400,225.9,40.8601,-74.1283
632,UT,Utah,84015,Clearfield,134600,271000,201.34,41.1294,-112.0482
633,OR,Oregon,97206,Portland,125700,378700,301.27,45.484,-122.5973
