RegionID,ZIP,City,State,Metro,CountyName,SizeRank,MedianHome,GrowthRate(1996),GrowthRate(2000),GrowthRate(2004),GrowthRate(2008),GrowthRate(2012),GrowthRate(2016)
86386,64152,Parkville,MO,Kansas City,Platte County,3960,257100,1.903034789,1.710578842,1.429922136,1.320493066,1.48184438,1.327995868
91200,76033,Cleburne,TX,Dallas-Fort Worth-Arlington,Johnson County,3961,156900,2.20056101,1.922794118,1.733701657,1.536728697,1.596134283,1.438130156
70348,29169,West Columbia,SC,Columbia,Lexington County,3962,131500,1.867897727,1.574850299,1.291748527,1.047808765,1.191123188,1.222118959
75559,40205,Louisville,KY,Louisville/Jefferson County,Jefferson County,3963,277100,2.621570482,2.054114159,1.642560759,1.425411523,1.429824561,1.124594156
95188,86401,Kingman,AZ,Lake Havasu City-Kingman,Mohave County,3964,152100,2.069387755,2.072207084,1.468146718,0.97002551,1.834740651,1.282462057
79203,48433,Flushing,MI,Flint,Genesee County,3965,145800,1.469758065,1.219063545,1.021008403,1.148031496,1.8293601,1.317073171
82277,55427,Golden Valley,MN,Minneapolis-St. Paul-Bloomington,Hennepin County,3966,262800,2.37398374,1.825,1.248456057,1.18699187,1.614250614,1.212736502
90754,75201,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,3967,749200,3.079325935,2.774814815,2.519166106,1.523073795,1.904907196,1.494514263
84333,60077,Skokie,IL,Chicago-Naperville-Elgin,Cook County,3968,280100,1.615340254,1.412506304,0.983497191,0.849560206,1.532275711,1.125803859
72686,33570,Ruskin,FL,Tampa-St. Petersburg-Clearwater,Hillsborough County,3969,206300,2.833791209,2.363115693,1.382707775,1.052014278,1.935272045,1.254103343
71874,32221,Jacksonville,FL,Jacksonville,Duval County,3970,185700,2.184705882,1.849601594,1.445136187,1.031093837,1.722634508,1.381696429
96212,90712,Lakewood,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,3971,586900,3.675015654,2.944806824,1.56298269,1.226541275,1.663077359,1.18159855
99561,98101,Seattle,WA,Seattle-Tacoma-Bellevue,King County,3972,614600,4.652535958,2.979156568,2.372057121,1.655265284,2.297570093,1.4048
90793,75241,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,3973,141000,2.52236136,2.227488152,1.89516129,1.751552795,2.342192691,1.966527197
97018,92782,Tustin,CA,Los Angeles-Long Beach-Anaheim,Orange County,3974,759400,3.44399093,2.524601064,1.400590188,1.261461794,1.513050408,1.132587621
86133,63640,Farmington,MO,Farmington,Saint Francois County,3975,151900,1.730068337,1.479065239,1.341872792,1.246103363,1.564366632,1.202692003
96939,92602,Irvine,CA,Los Angeles-Long Beach-Anaheim,Orange County,3976,936500,3.531297134,2.769890565,1.47922919,1.293865709,1.406578552,1.086426914
91562,76712,Woodway,TX,Waco,McLennan County,3977,227900,1.949529512,1.82905297,1.683161004,1.433333333,1.381212121,1.297097325
70774,29928,Hilton Head Island,SC,Hilton Head Island-Bluffton-Beaufort,Beaufort County,3978,446600,2.397208803,1.483228163,1.263723826,0.872265625,1.249230769,1.156994819
60946,8055,Medford,NJ,Philadelphia-Camden-Wilmington,Burlington County,3979,341000,1.913580247,1.788148925,1.130636605,0.926630435,1.09787508,1.077409163
91071,75766,Jacksonville,TX,Jacksonville,Cherokee County,3980,91100,1.855397149,1.510779436,1.363772455,1.301428571,1.359701493,1.153164557
91559,76708,Waco,TX,Waco,McLennan County,3981,123200,2.2,1.83880597,1.636122178,1.442622951,1.638297872,1.486127865
69183,27028,Mocksville,NC,Winston-Salem,Davie County,3982,148700,2.042582418,1.583599574,1.413498099,1.1562986,1.295296167,1.200161421
67030,21771,Mount Airy,MD,Washington-Arlington-Alexandria,Frederick County,3983,416200,2.290588883,2.088309082,1.250225293,0.994741874,1.263125948,1.166152984
86997,65775,West Plains,MO,West Plains,Howell County,3984,122900,1.51541307,1.432400932,1.440797186,1.241414141,1.325782093,1.184007707
66568,20708,Laurel,MD,Washington-Arlington-Alexandria,Prince Georges County,3985,349500,2.205047319,2.132397804,1.333460511,0.931503198,1.52486911,1.15805169
98427,95818,Sacramento,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,3986,575800,4.009749304,3.077498664,1.568082789,1.403021442,1.823883434,1.215024267
399617,72019,Benton,AR,Little Rock-North Little Rock-Conway,Saline County,3987,180100,2.019058296,1.824721378,1.49958368,1.216070223,1.383256528,1.195089582
61090,8520,East Windsor,NJ,Trenton,Mercer County,3988,264600,2.142510121,2.02448355,1.142980562,0.916839917,1.177570093,1.141993958
84544,60510,Batavia,IL,Chicago-Naperville-Elgin,Kane County,3989,303000,1.604872881,1.453934741,1.145124717,1.021577883,1.30998703,1.1369606
74550,37912,Knoxville,TN,Knoxville,Knox County,3990,137300,2.122102009,1.835561497,1.587283237,1.330426357,1.492391304,1.347399411
94286,83714,Garden City,ID,Boise City,Ada County,3991,304000,2.54180602,2.154500354,1.948717949,1.376188321,1.87654321,1.428571429
96631,92081,Vista,CA,San Diego-Carlsbad,San Diego County,3992,566300,3.459376909,2.449394464,1.35738255,1.252598983,1.691457587,1.165466145
92211,78023,Helotes,TX,San Antonio-New Braunfels,Bexar County,3993,328400,1.804395604,1.706860707,1.663627153,1.219005197,1.342600164,1.1543058
76452,43004,Blacklick,OH,Columbus,Franklin County,3994,218500,1.688562597,1.492486339,1.257915947,1.338028169,1.539816772,1.328267477
75116,39056,Clinton,MS,Jackson,Hinds County,3995,156700,1.632291667,1.640837696,1.592479675,1.15051395,1.184429327,1.157311669
78591,47408,Bloomington,IN,Bloomington,Monroe County,3996,235800,1.924897959,1.917073171,1.741506647,1.593243243,1.497142857,1.409444112
89944,73119,Oklahoma City,OK,Oklahoma City,Oklahoma County,3997,53800,2.007462687,1.670807453,1.351758794,1.089068826,1.573099415,1.386597938
96267,91006,Arcadia,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,3998,1077900,3.933941606,3.192831754,1.887410261,1.550043141,1.573576642,1.097881442
73201,34747,Citrus Ridge,FL,Orlando-Kissimmee-Sanford,Osceola County,3999,245200,2.13032146,1.541169076,1.158242796,0.778165662,1.354696133,1.08065227
58444,1605,Worcester,MA,Worcester,Worcester County,4000,245900,2.720132743,2.052587646,1.190799031,1.134225092,1.556329114,1.348135965
82279,55429,Brooklyn Center,MN,Minneapolis-St. Paul-Bloomington,Hennepin County,4001,207200,2.454976303,1.761904762,1.173272933,1.141597796,1.938260056,1.280593325
67395,22802,Harrisonburg,VA,Harrisonburg,Harrisonburg City,4002,178900,2.211372064,1.948801743,1.388975155,0.981888035,1.2303989,1.125865324
71525,31410,Wilmington Island,GA,Savannah,Chatham County,4003,270900,2.612343298,1.941935484,1.543589744,1.136325503,1.380733945,1.171712803
82080,55068,Rosemount,MN,Minneapolis-St. Paul-Bloomington,Dakota County,4004,281500,2.373524452,1.796426292,1.251667408,1.186762226,1.601251422,1.19787234
71063,30345,Chamblee,GA,Atlanta-Sandy Springs-Roswell,Dekalb County,4005,453300,2.765710799,1.79028436,1.562026189,1.307470436,1.687011537,1.227789816
60366,6514,Hamden,CT,New Haven-Milford,New Haven County,4006,180100,1.790258449,1.623985573,1.025626424,0.820127505,1.087560386,1.164941785
88814,70805,Baton Rouge,LA,Baton Rouge,East Baton Rouge Parish,4007,24300,1.070484581,0.721068249,0.613636364,0.464627151,0.700288184,0.896678967
100013,98901,Yakima,WA,Yakima,Yakima County,4008,192100,2.117971334,2.231126597,1.847115385,1.449811321,1.630730051,1.352816901
81574,54130,Kaukauna,WI,Appleton,Outagamie County,4009,165300,1.577290076,1.630177515,1.3150358,1.269585253,1.352700491,1.22172949
87676,67601,Hays,KS,Hays,Ellis County,4010,178400,1.203778677,1.203778677,1.203778677,80784219.55,1.224433768,1.031213873
98242,95492,Windsor,CA,Santa Rosa,Sonoma County,4011,635400,3.311099531,2.393220339,1.425942549,1.308753862,1.98748827,1.197737983
