State Code,State,Zip Code,City, Beginning 2000 , End 2018 ,% Increase
NM,New Mexico,87111,Albuquerque,149700,269600,180.09
MI,Michigan,48180,Taylor,94500,103100,109.1
FL,Florida,34787,Winter Garden,150200,318600,212.12
CA,California,94533,Fairfield,149900,387100,258.24
TX,Texas,76063,Mansfield,162200,277800,171.27
PA,Pennsylvania,15601,Greensburg,79500,150100,188.81
TX,Texas,77459,Missouri City,181500,273000,150.41
CA,California,91709,Chino Hills,245300,677600,276.23
OH,Ohio,43055,Newark,82800,130600,157.73
CA,California,95608,Carmichael,172900,415200,240.14
TX,Texas,79938,El Paso,96800,148800,153.72
AZ,Arizona,85364,Yuma,80000,134800,168.5
OH,Ohio,44060,Mentor,137500,175800,127.85
NY,New York,11238,New York,165600,978700,591
OH,Ohio,43123,Grove City,126900,181400,142.95
TX,Texas,78577,Pharr,62300,89900,144.3
CO,Colorado,80013,Aurora,155500,342800,220.45
FL,Florida,33024,Pembroke Pines,93000,277500,298.39
FL,Florida,33908,Fort Myers,141400,245000,173.27
NY,New York,11385,New York,198300,667300,336.51
TX,Texas,75056,The Colony,156700,288500,184.11
WA,Washington,98012,Bothell,239300,580700,242.67
CA,California,90066,Los Angeles,347800,1437600,413.34
MD,Maryland,20906,Silver Spring,161900,349400,215.81
TX,Texas,76028,Burleson,115300,221000,191.67
NY,New York,14850,Ithaca,98000,245100,250.1
FL,Florida,33647,Tampa,146100,287700,196.92
CA,California,92677,Laguna Niguel,346100,852400,246.29
GA,Georgia,30040,Cumming,173100,304300,175.79
NC,North Carolina,27587,Wake Forest,179200,310500,173.27
OH,Ohio,44256,Medina,131800,221900,168.36
MA,Massachusetts,02148,Malden,178900,464800,259.81
MO,Missouri,65807,Springfield,94000,131100,139.47
IL,Illinois,60620,Chicago,88300,125900,142.58
NY,New York,11373,New York,156500,570400,364.47
CA,California,95823,Sacramento,99400,280000,281.69
CT,Connecticut,06902,Stamford,134800,254600,188.87
CA,California,92336,Fontana,163300,456200,279.36
OH,Ohio,45011,Hamilton,133700,199400,149.14
TX,Texas,77845,College Station,149000,255800,171.68
IN,Indiana,47906,West Lafayette,116900,209100,178.87
NC,North Carolina,27410,Greensboro,151100,226900,150.17
MO,Missouri,65203,Columbia,149800,220400,147.13
GA,Georgia,30188,Woodstock,141000,244700,173.55
CA,California,92345,Hesperia,88300,254500,288.22
NY,New York,10028,New York,627000,1477600,235.66
NV,Nevada,89121,Las Vegas,116100,228100,196.47
IN,Indiana,46307,Crown Point,116400,228900,196.65
NJ,New Jersey,07302,Jersey City,189700,909000,479.18
CA,California,92804,Anaheim,193200,580400,300.41
NJ,New Jersey,08753,Toms River,131400,273000,207.76
TX,Texas,77450,Cinco Ranch,162800,260700,160.14
WA,Washington,99301,Pasco,90300,238600,264.23
IL,Illinois,60634,Chicago,168300,267700,159.06
CA,California,92126,San Diego,202300,608000,300.54
NC,North Carolina,27406,Greensboro,90200,116600,129.27
TX,Texas,75228,Dallas,83400,201200,241.25
CA,California,92503,Riverside,134600,393400,292.27
FL,Florida,33009,Hallandale,68600,211600,308.45
OH,Ohio,43130,Lancaster,90700,136900,150.94
DC,Washington D.C.,20011,Washington,138200,627400,453.98
WA,Washington,98103,Seattle,267100,799300,299.25
NC,North Carolina,28314,Fayetteville,85500,114400,133.8
TX,Texas,76244,Fort Worth,188300,262000,139.14
SC,South Carolina,29732,Rock Hill,120700,190300,157.66
CA,California,90019,Los Angeles,245100,1134900,463.04
NC,North Carolina,27610,Raleigh,118500,181400,153.08
IL,Illinois,60016,Des Plaines,159500,226700,142.13
CA,California,91911,Chula Vista,174000,486300,279.48
TX,Texas,78641,Leander,161700,259900,160.73
TX,Texas,77095,Houston,144300,224700,155.72
NM,New Mexico,87120,Albuquerque,134600,201800,149.93
NC,North Carolina,28078,Huntersville,182600,301200,164.95
MD,Maryland,21740,Hagerstown,93300,157800,169.13
VA,Virginia,22191,Woodbridge,133600,317300,237.5
KY,Kentucky,40475,Richmond,95100,171000,179.81
CA,California,94536,Fremont,329100,1089900,331.18
FL,Florida,34135,Bonita Springs,147500,286300,194.1
NJ,New Jersey,07002,Bayonne,159700,373400,233.81
CA,California,95747,Roseville,242600,479200,197.53
VA,Virginia,23320,Chesapeake,120000,249400,207.83
CA,California,90280,South Gate,153500,442600,288.34
IN,Indiana,46227,Indianapolis,92900,149700,161.14
OH,Ohio,43230,Gahanna,133500,213700,160.07
CA,California,92592,Temecula,210500,475300,225.8
FL,Florida,34711,Clermont,135500,262800,193.95
PA,Pennsylvania,19111,Philadelphia,83500,186500,223.35
NV,Nevada,89117,Las Vegas,158100,334200,211.39
NY,New York,10027,New York,212900,981400,460.97
NY,New York,11236,New York,181900,490500,269.65
GA,Georgia,30080,Smyrna,137200,284100,207.07
GA,Georgia,30041,Cumming,208800,363200,173.95
OK,Oklahoma,74012,Broken Arrow,101200,161800,159.88
FL,Florida,32218,Jacksonville,100800,179300,177.88
GA,Georgia,30052,Loganville,139300,211700,151.97
MD,Maryland,21117,Owings Mills,144600,256500,177.39
TX,Texas,75035,Frisco,227700,368800,161.97
CA,California,91730,Rancho Cucamonga,148800,453200,304.57
FL,Florida,32244,Jacksonville,85600,160400,187.38
NC,North Carolina,27834,Greenville,60600,91900,151.65
CA,California,90201,Bell,157600,446100,283.06
CA,California,92101,San Diego,215400,596100,276.74
CA,California,92109,San Diego,307900,965800,313.67
FL,Florida,32256,Jacksonville,105700,201000,190.16
FL,Florida,32822,Orlando,73500,171600,233.47
CA,California,90004,Los Angeles,337100,1436100,426.02
NJ,New Jersey,07093,West New York,155000,396200,255.61
TN,Tennessee,38401,Columbia,92300,184600,200
FL,Florida,33186,The Crossings,120400,312700,259.72
MI,Michigan,48103,Ann Arbor,191400,379400,198.22
GA,Georgia,30062,Marietta,177600,334100,188.12
TX,Texas,75206,Dallas,218100,440000,201.74
